確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離あり,"→TDBへ詳細確認
本業以外の「特別利益」で嵩上げしているか、TDBが財務諸表に出ていないネガティブ情報（裏情報）を掴んでいる可能性があるため。",調査年月日,2年以内に調査がない,→右のルートへ,帝国データバンクに表に出ていない情報を確認,倒産予測値が悪化している,→右のルートへ,モデルが変更しているかどうか,倒産予測値悪化の原因が、モデル変更（coⅡのモデル変更）である,"→ 減点
※フロー最終の審査時にここで加点/減点された情報を考慮すること
※coⅡ評点と倒産予測値の乖離なしルートに合流",,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離あり,"→TDBへ詳細確認
本業以外の「特別利益」で嵩上げしているか、TDBが財務諸表に出ていないネガティブ情報（裏情報）を掴んでいる可能性があるため。",調査年月日,2年以内に調査がない,→右のルートへ,帝国データバンクに表に出ていない情報を確認,倒産予測値が悪化している,→右のルートへ,モデルが変更しているかどうか,倒産予測値悪化の原因が、モデル変更（coⅡのモデル変更）でない,→右のルートへ,"指名停止（3か月以下）有無
焦付有無
支払条件変更有無
リスケ中かどうか
支払遅延かどうか
金融機関撤退かどうか
許認可取消かどうか
代表役員逮捕歴",指名停止（3か月以下）/ 焦付 / 支払条件変更 等が ある,"→ 減点
※フロー最終の審査時にここで加点/減点された情報を考慮すること
※coⅡ評点と倒産予測値の乖離なしルートに合流",,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離あり,"→TDBへ詳細確認
本業以外の「特別利益」で嵩上げしているか、TDBが財務諸表に出ていないネガティブ情報（裏情報）を掴んでいる可能性があるため。",調査年月日,2年以内に調査がない,→右のルートへ,帝国データバンクに表に出ていない情報を確認,倒産予測値が悪化している,→右のルートへ,モデルが変更しているかどうか,倒産予測値悪化の原因が、モデル変更（coⅡのモデル変更）でない,→右のルートへ,"指名停止（3か月以下）有無
焦付有無
支払条件変更有無
リスケ中かどうか
支払遅延かどうか
金融機関撤退かどうか
許認可取消かどうか
代表役員逮捕歴",リスケ中 / 支払遅延 / 金融機関撤退 / 許認可取消 / 代表役員逮捕 等が ある, →NG,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離あり,"→TDBへ詳細確認
本業以外の「特別利益」で嵩上げしているか、TDBが財務諸表に出ていないネガティブ情報（裏情報）を掴んでいる可能性があるため。",調査年月日,2年以内に調査がない,→右のルートへ,帝国データバンクに表に出ていない情報を確認,倒産予測値が悪化していない,→coⅡ評点と倒産予測値の乖離なしに合流,,,,,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離あり,"→TDBへ詳細確認
本業以外の「特別利益」で嵩上げしているか、TDBが財務諸表に出ていないネガティブ情報（裏情報）を掴んでいる可能性があるため。",調査年月日,2年以内に調査がある,→coⅡ評点と倒産予測値の乖離なしに合流,,,,,,,,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離なし,"→OK
整合性が取れている。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,coⅡの業績が変化しているか確認,"変化していない(利益が未詳)、あるいは、変化しているが100万円単位で変化が乏しい

※電話で実際に確認しているが、前年と同じ程度である、という回答が来るため、信ぴょう性がない","→調査年月日の記載なしの場合のフローに合流。
ただし、変化していない(利益が未詳)、あるいは、変化しているが100万円単位で変化が乏しいことは変わらないため、「変化していない(利益が未詳)、あるいは、変化しているが100万円単位で変化が乏しいことは変わらない」ルートに来るのが2回目の場合には、「coⅡの業績が変化している」ルートに合流",,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離なし,"→OK
整合性が取れている。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,coⅡの業績が変化しているか確認,変化している,→右のルートへ,"倒産予測モデルの精度（過去3年の倒産予測値推移）
算出モデルが「MIX」「CCR」「C2」のいずれか
信憑性の高さ：MIX→ＣＣＲ→C2","C2モデル（精度低）

※直接調査無しか調査から2年以上経過しており業績もユーザーからの報告内容から信憑性に欠ける",→右のルートへ,"①支払状況
②支払実積
③当社契約分の入替
④主力販売店案件
⑤ﾕｰｻﾞｰと当社との取引状況や販売店の位置づけ
⑥他の資料（必要に応じてvanⅡや不動産謄本等の資料も取得）","以下①から⑥において「：」より右に記載の状態に1つでも合致する
①支払状況：良好
②支払実積：今回与信額程度以上
③当社契約分の入替：Yes
④主力販売店案件：Yes
⑤ﾕｰｻﾞｰと当社との取引状況や販売店の位置づけ：主力先あるいは債権内容が良好
⑥他の資料：加点材料が確認できる
"," → 加点
※フロー最終の審査時にここで加点/減点された情報を考慮すること
※MIXモデルのルートへ",,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離なし,"→OK
整合性が取れている。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,coⅡの業績が変化しているか確認,変化している,→右のルートへ,"倒産予測モデルの精度（過去3年の倒産予測値推移）
算出モデルが「MIX」「CCR」「C2」のいずれか
信憑性の高さ：MIX→ＣＣＲ→C2","C2モデル（精度低）

※直接調査無しか調査から2年以上経過しており業績もユーザーからの報告内容から信憑性に欠ける",→右のルートへ,"①支払状況
②支払実積
③当社契約分の入替
④主力販売店案件
⑤ﾕｰｻﾞｰと当社との取引状況や販売店の位置づけ
⑥他の資料（必要に応じてvanⅡや不動産謄本等の資料も取得）","以下①から⑥において「：」より右に記載の状態に1つも合致しない
①支払状況：良好
②支払実積：今回与信額程度以上
③当社契約分の入替：Yes
④主力販売店案件：Yes
⑤ﾕｰｻﾞｰと当社との取引状況や販売店の位置づけ：主力先あるいは債権内容が良好
⑥他の資料：加点材料が確認できる
",→MIXモデルのルートへ,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離なし,"→OK
整合性が取れている。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,coⅡの業績が変化しているか確認,変化している,→右のルートへ,"倒産予測モデルの精度（過去3年の倒産予測値推移）
算出モデルが「MIX」「CCR」「C2」のいずれか
信憑性の高さ：MIX→ＣＣＲ→C2","CCRモデル

※直接調査しているが財務諸表の取得が無く業績・財務内容の裏付け確認が出来ていない",→右のルートへ,"①支払状況
②支払実積
③当社契約分の入替
④主力販売店案件
⑤ﾕｰｻﾞｰと当社との取引状況や販売店の位置づけ
⑥他の資料（必要に応じてvanⅡや不動産謄本等の資料も取得）","以下①から⑥において「：」より右に記載の状態に1つでも合致する
①支払状況：良好
②支払実積：今回与信額程度以上
③当社契約分の入替：Yes
④主力販売店案件：Yes
⑤ﾕｰｻﾞｰと当社との取引状況や販売店の位置づけ：主力先あるいは債権内容が良好
⑥他の資料：加点材料が確認できる
"," → 加点
※フロー最終の審査時にここで加点/減点された情報を考慮すること
※MIXモデルのルートへ",,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離なし,"→OK
整合性が取れている。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,coⅡの業績が変化しているか確認,変化している,→右のルートへ,"倒産予測モデルの精度（過去3年の倒産予測値推移）
算出モデルが「MIX」「CCR」「C2」のいずれか
信憑性の高さ：MIX→ＣＣＲ→C2","CCRモデル

※直接調査しているが財務諸表の取得が無く業績・財務内容の裏付け確認が出来ていない",→右のルートへ,"①支払状況
②支払実積
③当社契約分の入替
④主力販売店案件
⑤ﾕｰｻﾞｰと当社との取引状況や販売店の位置づけ
⑥他の資料（必要に応じてvanⅡや不動産謄本等の資料も取得）","以下①から⑥において「：」より右に記載の状態に1つも合致しない
①支払状況：良好
②支払実積：今回与信額程度以上
③当社契約分の入替：Yes
④主力販売店案件：Yes
⑤ﾕｰｻﾞｰと当社との取引状況や販売店の位置づけ：主力先あるいは債権内容が良好
⑥他の資料：加点材料が確認できる
",→MIXモデルのルートへ,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離なし,"→OK
整合性が取れている。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,coⅡの業績が変化しているか確認,変化している,→右のルートへ,"倒産予測モデルの精度（過去3年の倒産予測値推移）
算出モデルが「MIX」「CCR」「C2」のいずれか
信憑性の高さ：MIX→ＣＣＲ→C2","MIXモデル

※直接調査と決算書取得してのものであり業績・財務内容確認しての判断で信憑性が高い",→右のルートへ,coⅡ評点と自己資本・売上利益の関係性を確認,coⅡ/van Ⅱ評点が低い（＝①coⅡ44点以下　vanⅡ45点以下）のに自己資本が高く（＝自己資本50%が優良、30%以上で良好、10%未満は要注意）、売上に対して極端に高い利益（＝売上の20%以上）を出している時,→右のルートへ,"TDBへ確認（vanⅡの調査）

※過去にTDBやTSRから信用不安情報がでておりその後の経過か不明の場合、継続の不安情報等が無いか確認する",本業から創出された利益でない（＝特別利益（資産の売却や代表などからの借入金免除益など）等である）あるいは、また表に出ていない裏情報をTDBが入手している,"→減点
※事業の継続性を脅かすような状況であれば一発NG
※フロー最終の審査時にここで加点/減点された情報を考慮すること
※coⅡ評点と自己資本・売上利益の関係性を確認の「上記以外の場合」ルートへ",,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離なし,"→OK
整合性が取れている。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,coⅡの業績が変化しているか確認,変化している,→右のルートへ,"倒産予測モデルの精度（過去3年の倒産予測値推移）
算出モデルが「MIX」「CCR」「C2」のいずれか
信憑性の高さ：MIX→ＣＣＲ→C2","MIXモデル

※直接調査と決算書取得してのものであり業績・財務内容確認しての判断で信憑性が高い",→右のルートへ,coⅡ評点と自己資本・売上利益の関係性を確認,coⅡ/van Ⅱ評点が低い（＝①coⅡ44点以下　vanⅡ45点以下）のに自己資本が高く（＝自己資本50%が優良、30%以上で良好、10%未満は要注意）、売上に対して極端に高い利益（＝売上の20%以上）を出している時,→右のルートへ,"TDBへ確認（vanⅡの調査）

※過去にTDBやTSRから信用不安情報がでておりその後の経過か不明の場合、継続の不安情報等が無いか確認する",本業での利益である,→coⅡ評点と自己資本・売上利益の関係性を確認の「上記以外の場合」ルートへ,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離なし,"→OK
整合性が取れている。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,coⅡの業績が変化しているか確認,変化している,"→OK
決算書に基づく正確なデータである可能性が高い。",倒産予測値モデルの精度確認のタイミングやトリガーは上記の位置で良いでしょうか？,"MIXモデル

※直接調査と決算書取得してのものであり業績・財務内容確認しての判断で信憑性が高い",→右のルートへ,coⅡ評点と自己資本・売上利益の関係性を確認,上記以外の場合,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,coⅡ点数を確認,70点以上,"→OK
理由：
基本上場会社であるため、会社のIR情報をベースに1億円までは原則OK","基本5000万円超は決裁権限の問題があり本社上申が必要　３億円までは取組方向で上申
内容により詳細設定あり",本社決裁の場合財務諸表は必要不可欠,有利子負債が月商比６か月以下、自己資本30%以上、減価償却実施額と利益で有利子負債の年間返済額を超える事,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離なし,"→OK
整合性が取れている。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,coⅡの業績が変化しているか確認,変化している,"→OK
決算書に基づく正確なデータである可能性が高い。",倒産予測値モデルの精度確認のタイミングやトリガーは上記の位置で良いでしょうか？,"MIXモデル

※直接調査と決算書取得してのものであり業績・財務内容確認しての判断で信憑性が高い",→右のルートへ,coⅡ評点と自己資本・売上利益の関係性を確認,上記以外の場合,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,coⅡ点数を確認,69-65点以上,"→OK
理由：
基本上場会社か地場優良企業から、会社のIR情報vanⅡ財務諸表等をベースに3億円までは上申す",本社決裁の場合財務諸表は必要不可欠,有利子負債が月商比６か月以下、自己資本30%以上、減価償却実施額と利益で有利子負債の年間返済額を超える事,,,,,,
